Location,Latitude,Longitude,Country,County,Reported Location,Crash ID,Crash Date,Year,Month,Crash Time,Quarter of the day,Crash Type,Severity,Pedestrians,Pedestrian Casualties
"-35.379485, 149.054824",-35.379485,149.054824,"Boddington Crescent after Bacchus Court (School Services Only), Australian Capital Territory, Boddington Crescent, Kambah 2902, Australia", Kambah 2902,BODDINGTON CRESCENT (BACCHUS / REYNELL -> DRAKEFORD / MARCONI),1135099,21/05/2016,2016,May,02:00,Night,Struck pedestrian (On Road),Injury,1,1
"-35.413089, 149.121525",-35.413089,149.121525,"Australian Capital Territory, Isabella Drive, Chisholm 2904, Australia", Chisholm 2904,ISABELLA DRIVE (BENHAM -> GOLDSTEIN / KELLETT),1142102,18/08/2016,2016,August,10:30,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.329922, 149.128388",-35.329922,149.128388,"Monaro Crescent after Golden Grove, Australian Capital Territory, Monaro Crescent, Red Hill 2603, Australia", Red Hill 2603,MONARO CRESCENT (FLINDERS -> GOLDEN),1166143,10/08/2017,2017,August,15:50,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.3229, 149.076065",-35.3229,149.076065,"Australian Capital Territory, Jenkins Street, Curtin 2605, Australia", Curtin 2605,JENKINS STREET (THROSSELL -> STOREY),1165998,03/08/2017,2017,August,22:30,Evening,Struck pedestrian (Off Road),Injury,1,1
"-35.414536, 149.102303",-35.414536,149.102303,"Australian Capital Territory, Ashley Drive, Gowrie 2904, Australia", Gowrie 2904,ASHLEY DRIVE (BUGDEN -> BARRACLOUGH),1130336,06/12/2015,2015,December,01:35,Night,Struck pedestrian (On Road),Injury,1,1
"-35.41697, 149.102316",-35.41697,149.102316,"Australian Capital Territory, Barraclough Crescent, Gowrie 2904, Australia", Gowrie 2904,ASHLEY/BARRACLOUGH INTERSECTION,1121078,02/10/2015,2015,October,00:10,Night,Struck pedestrian (On Road),Injury,1,1
"-35.343459, 149.087963",-35.343459,149.087963,"Australian Capital Territory, Callam Street, Phillip 2606, Australia", Phillip 2606,CALLAM STREET (CALLAM -> BOWES),1196873,14/11/2018,2018,November,08:30,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.248525, 149.136898",-35.248525,149.136898,"Antill Street after Badham Street, Australian Capital Territory, Antill Street, Dickson 2602, Australia", Dickson 2602,ANTILL STREET (ANTILL SERV ACESS -> PIGOT),1167532,01/09/2017,2017,September,08:55,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.274498, 149.117212",-35.274498,149.117212,"Australian Capital Territory, Daley Road, Acton 2601, Australia", Acton 2601,DALEY ROAD (NORTH -> LINNAEUS),1037852,24/05/2012,2012,May,18:30,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.243002, 149.068733",-35.243002,149.068733,"Australian Capital Territory, College Street, Belconnen 2617, Australia", Belconnen 2617,COLLEGE STREET (BENJAMIN -> CONDELL),1168225,12/09/2017,2017,September,18:30,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.358959, 149.087672",-35.358959,149.087672,"Australian Capital Territory, Marr Street, Pearce 2607, Australia", Pearce 2607,MARR STREET (BEASLEY -> HODGSON),1208364,03/06/2019,2019,June,15:15,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.250945, 149.139809",-35.250945,149.139809,"Dickson Shops, The Garden, Australian Capital Territory, Dickson Place, Dickson 2602, Australia", Dickson 2602,DICKSON PLACE (COWPER -> BADHAM),1169376,28/09/2017,2017,September,17:00,Afternoon,Struck pedestrian (Off Road),Injury,1,1
"-35.390259, 149.078181",-35.390259,149.078181,"Australian Capital Territory, Vosper Street, Kambah 2902, Australia", Kambah 2902,LIVINGSTON/VOSPER INTERSECTION,1204823,08/04/2019,2019,April,07:06,Morning,Right turn into oncoming vehicle,Property Damage Only,1,0
"-35.31541, 149.104103",-35.31541,149.104103,"Australian Capital Territory, De Chair Street, Deakin 2600, Australia", Deakin 2600,DE CHAIR STREET (NEWDEGATE -> MACGREGOR),1210107,29/06/2019,2019,June,10:10,Morning,Struck pedestrian (Off Road),Injury,1,1
"-35.285745, 149.134995",-35.285745,149.134995,"Australian Capital Territory, Constitution Avenue, City 2601, Australia", City 2601,CONSTITUTION/CORANDERRK INTERSECTION,1209457,07/06/2019,2019,June,15:40,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.319562, 149.135449",-35.319562,149.135449,"Australian Capital Territory, Captain Cook Crescent, Griffith 2603, Australia", Griffith 2603,CANBERRA/CAPTAIN COOK/MANUKA (SW) INTERSECTION,1095847,10/09/2014,2014,September,15:41,Afternoon,Struck pedestrian (On Road),Fatal,1,1
