Location,Latitude,Longitude,Country,County,Reported Location,Crash ID,Crash Date,Year,Month,Crash Time,Quarter of the day,Crash Type,Severity,Pedestrians,Pedestrian Casualties
"-35.378183, 149.060623",-35.378183,149.060623,"St Stephens Anglican Church, Australian Capital Territory, Wyselaskie Circuit, Kambah 2902, Australia", Kambah 2902,WYSELASKIE CIRCUIT (MARCONI -> WYSELASKIE),1229267,17/06/2020,2020,June,12:14,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.41944, 149.113879",-35.41944,149.113879,"Australian Capital Territory, Longman Street, Richardson 2905, Australia", Richardson 2905,LONGMAN/TUCK INTERSECTION,1214429,03/09/2019,2019,September,07:26,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.201011, 149.149205",-35.201011,149.149205,"Australian Capital Territory, Nullarbor Avenue, Harrison 2914, Australia", Harrison 2914,FLEMINGTON/NULLARBOR INTERSECTION,1214139,06/08/2019,2019,August,12:16,Afternoon,Struck pedestrian (Off Road),Property Damage Only,1,0
"-35.366357, 149.112882",-35.366357,149.112882,"Julia Flynn Avenue opposite Isaacs Shops, Australian Capital Territory, Julia Flynn Avenue, Isaacs 2607, Australia", Isaacs 2607,JULIA FLYNN AVENUE (CROOK -> MACLAGAN),1176378,18/01/2018,2018,January,09:25,Morning,Struck pedestrian (Off Road),Property Damage Only,1,0
"-35.197628, 149.118419",-35.197628,149.118419,"Koscuiszko Avenue Palmerston Shops, Australian Capital Territory, Kosciuszko Avenue, Palmerston 2913, Australia", Palmerston 2913,KOSCIUSZKO AVENUE (TIPTREE -> TINDERRY),1176377,17/01/2018,2018,January,11:05,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.299954, 149.112149",-35.299954,149.112149,"Stirling Park, Australian Capital Territory, Flynn Drive, Yarralumla 2600, Australia", Yarralumla 2600,ALEXANDRINA DRIVE (MARINER -> HOPETOUN),1164056,04/06/2017,2017,June,06:55,Morning,Struck pedestrian (Off Road),Injury,1,1
"-35.277617, 149.13171",-35.277617,149.13171,"Fiction, Australian Capital Territory, Bunda Street, City 2601, Australia", City 2601,BUNDA STREET (GENGE -> MURULLA),1214890,17/02/2018,2018,February,20:00,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.30054, 149.168274",-35.30054,149.168274,"Australian Capital Territory, Wells Road, Campbell 2612, Australia", Campbell 2612,WELLS ROAD (VOWLES -> COMBES),1176111,16/01/2018,2018,January,12:30,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.329429, 149.173601",-35.329429,149.173601,"Australian Capital Territory, Barrier Street, Fyshwick 2609, Australia", Fyshwick 2609,BARRIER STREET (LYELL -> NEWCASTLE),1176174,27/11/2017,2017,November,09:10,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.387792, 149.050746",-35.387792,149.050746,"Australian Capital Territory, Boddington Crescent, Kambah 2902, Australia", Kambah 2902,BODDINGTON CRESCENT (CROZIER -> CROZIER),1175736,28/10/2017,2017,October,11:15,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.24886, 149.09038",-35.24886,149.09038,"Australian Capital Territory, Haydon Drive, Bruce 2617, Australia", Bruce 2617,HAYDON DRIVE (PURDIE -> MARY POTTER),1177028,06/02/2018,2018,February,18:00,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.274547, 149.132574",-35.274547,149.132574,"Rye, Australian Capital Territory, 9 Lonsdale Street, Braddon 2612, Australia", Braddon 2612,LONSDALE STREET (ELOUERA -> COOYONG),1177239,07/02/2018,2018,February,16:30,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.246944, 149.164037",-35.246944,149.164037,"Australian Capital Territory, Haddon Street, Hackett 2602, Australia", Hackett 2602,HADDON STREET (HADDON -> RIVETT),1178553,02/03/2018,2018,March,19:15,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.262358, 149.145263",-35.262358,149.145263,"Mt Ainslie Canteen, Ainslie Shops, Australian Capital Territory, 5 Edgar Street, Ainslie 2602, Australia", Ainslie 2602,EDGAR STREET (WAKEFIELD -> O'CONNELL),1178704,04/03/2018,2018,March,12:25,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.278412, 149.126316",-35.278412,149.126316,"Australian Capital Territory, Canberra House, 40 Marcus Clarke Street, City 2601, Australia", City 2601,MARCUS CLARKE STREET (HOBART -> ALINGA),1146614,18/10/2016,2016,October,17:33,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.247267, 149.068498",-35.247267,149.068498,"Australian Capital Territory, Ware Place, Belconnen 2617, Australia", Belconnen 2617,WARE PLACE (CONDELL -> WARE),1179254,09/03/2018,2018,March,13:30,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.325909, 149.172848",-35.325909,149.172848,"Australian Capital Territory, Isa Street, Fyshwick 2609, Australia", Fyshwick 2609,ISA STREET (BARRIER -> NEWCASTLE),1179889,03/03/2018,2018,March,14:00,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.414494, 149.066802",-35.414494,149.066802,"Australian Capital Territory, Pitman Street, Greenway 2900, Australia", Greenway 2900,ANKETELL/PITMAN INTERSECTION,1181154,26/03/2018,2018,March,16:45,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.364266, 149.095318",-35.364266,149.095318,"Australian Capital Territory, Heard Street, Mawson 2607, Australia", Mawson 2607,HEARD STREET (MAWSON -> MOUNTEVANS),1182053,19/04/2017,2017,April,08:30,Morning,Struck pedestrian (On Road),Property Damage Only,2,0
"-35.412738, 149.083763",-35.412738,149.083763,"Australian Capital Territory, Erindale Drive, Oxley 2903, Australia", Oxley 2903,ERINDALE DRIVE (HARRICKS / TAVERNER -> JUDKINS),1193575,04/10/2018,2018,October,12:20,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.379904, 149.076731",-35.379904,149.076731,"Australian Capital Territory, Sulwood Drive, Kambah 2902, Australia", Kambah 2902,SULWOOD DRIVE (LIVINGSTON -> MANNHEIM),1172898,09/11/2017,2017,November,07:35,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.373888, 149.056862",-35.373888,149.056862,"Australian Capital Territory, unnamed road, Kambah 2902, Australia", Kambah 2902,DRAKEFORD/SULWOOD/TUGGERANONG INTERSECTION,1137078,16/06/2016,2016,June,19:10,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.347944, 149.084695",-35.347944,149.084695,"Westfield Woden, Australian Capital Territory, Corinna Street, Phillip 2606, Australia", Phillip 2606,CORINNA STREET (CORINNA -> JULIANA),1193562,25/09/2018,2018,September,12:00,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.402137, 149.14783",-35.402137,149.14783,"Australian Capital Territory, Monaro Highway, Hume 2620, Australia", Hume 2620,MONARO HIGHWAY (MUGGA -> ISABELLA),1086998,23/05/2014,2014,May,15:38,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.456268, 149.092696",-35.456268,149.092696,"Box Hill Avenue Lanyon Marketplace, Australian Capital Territory, Box Hill Avenue, Conder 2906, Australia", Conder 2906,BOX HILL AVENUE (BALCOMBE -> THARWA / WOODCOCK),1206501,10/05/2019,2019,May,18:20,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.315556, 149.140357",-35.315556,149.140357,"Giles Street Kingston Shops, Australian Capital Territory, Giles Street, Kingston 2604, Australia", Kingston 2604,GILES STREET (KENNEDY -> TENCH),1194546,18/10/2018,2018,October,19:10,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.224068, 149.043193",-35.224068,149.043193,"Australian Capital Territory, 39 Krefft Street, Florey 2615, Australia", Florey 2615,KREFFT STREET (ENNOR -> BARNARD),1194734,26/10/2018,2018,October,08:04,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.237588, 149.03153",-35.237588,149.03153,"Australian Capital Territory, Kingsford Smith Drive, Higgins 2615, Australia", Higgins 2615,KINGSFORD SMITH DRIVE (FINDLAY -> BELCONNEN),1195199,02/11/2018,2018,November,18:30,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.172973, 149.12335",-35.172973,149.12335,"Australian Capital Territory, Shoalhaven Avenue, Amaroo 2914, Australia", Amaroo 2914,SHOALHAVEN AVENUE (BURDEKIN / RODERICK -> LENNARD / TYENNA),1122800,31/10/2015,2015,October,00:50,Night,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.195951, 149.152383",-35.195951,149.152383,"Australian Capital Territory, Wimmera Street, Harrison 2914, Australia", Harrison 2914,WIMMERA STREET (MAPLETON -> COLLAROY),1148997,05/12/2016,2016,December,08:59,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.425209, 149.090418",-35.425209,149.090418,"Australian Capital Territory, Drumston Street, Isabella Plains 2905, Australia", Isabella Plains 2905,DRUMSTON STREET (ELLERSTON -> CLIVE STEELE / ISABELLA),1182054,04/05/2017,2017,May,15:30,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.321311, 149.093204",-35.321311,149.093204,"Canberra Eye Hospital, Australian Capital Territory, Makin Place, Deakin 2600, Australia", Deakin 2600,MAKIN PLACE (DENISON / NAPIER -> MAKIN),1078844,22/01/2014,2014,January,12:20,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.278447, 149.129534",-35.278447,149.129534,"City Bus Station Platform 5, Australian Capital Territory, Alinga Street, City 2601, Australia", City 2601,ALINGA STREET (NORTHBOURNE -> VERITY),1215003,10/07/2018,2018,July,11:00,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.166706, 149.145543",-35.166706,149.145543,"Australian Capital Territory, 51 Doris Turner Street, Forde 2914, Australia", Forde 2914,DORIS TURNER STREET (QUINANE -> HUDDY),1098546,12/11/2014,2014,November,19:54,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.180311, 149.13604",-35.180311,149.13604,"Gundaroo Drive after Nellie Hamilton Avenue, Australian Capital Territory, Gundaroo Drive, Gungahlin 2912, Australia", Gungahlin 2912,GUNDAROO DRIVE (GUNDAROO SRV.RD 327-345 -> GUNGAHLIN / NELLIE HAMILTON),1104840,25/03/2014,2014,March,12:00,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.278001, 149.133143",-35.278001,149.133143,"Canberra Centre, Australian Capital Territory, Genge Street, City 2601, Australia", City 2601,SCOTTS CROSSING (NARELLAN -> BUNDA / GAREMA),1193810,04/10/2018,2018,October,12:46,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.379947, 149.057449",-35.379947,149.057449,"Australia Post, Australian Capital Territory, Primmer Court, Kambah 2902, Australia", Kambah 2902,PRIMMER COURT CARPARK W (PRIMMER -> PRIMMER CARPARK ACCESS),1186092,15/06/2018,2018,June,18:55,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.260406, 149.131073",-35.260406,149.131073,"Australian Capital Territory, Macarthur Avenue, Turner 2612, Australia", Turner 2612,MACARTHUR AVENUE (NORTHBOURNE / WAKEFIELD -> DAVID / WATTLE),1046959,23/09/2012,2012,September,14:00,Afternoon,Struck pedestrian (On Road),Injury,1,0
"-35.305867, 149.133111",-35.305867,149.133111,"Barton Bus Station, Australian Capital Territory, National Circuit, Barton 2600, Australia", Barton 2600,NATIONAL CIRCUIT (BLIGH -> KINGS / QUEEN VICTORIA),1110354,14/05/2015,2015,May,08:30,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.279192, 149.130523",-35.279192,149.130523,"City Bus Station, Australian Capital Territory, Mort Street, City 2601, Australia", City 2601,EAST ROW (ALINGA / CITY / MORT -> LONDON),1073294,09/02/2013,2013,February,08:25,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.335683, 149.111892",-35.335683,149.111892,"Australian Capital Territory, 30 Couvreur Street, Garran 2605, Australia", Garran 2605,COUVREUR STREET 36-48 (COUVREUR -> COUVREUR 36-48),1166819,31/07/2017,2017,July,12:10,Afternoon,Struck pedestrian (Off Road),Injury,1,1
"-35.275659, 149.128623",-35.275659,149.128623,"Australian Capital Territory, 77 Barry Drive, Turner 2612, Australia", Turner 2612,BARRY DRIVE (MOORE -> COOYONG / NORTHBOURNE),1108346,09/04/2015,2015,April,08:45,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.248157, 149.133119",-35.248157,149.133119,"Australian Capital Territory, Mouat Street, Lyneham 2602, Australia", Lyneham 2602,MOUAT STREET (ANTILL / NORTHBOURNE -> GOODWIN),1194166,15/10/2018,2018,October,13:02,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.267671, 149.130981",-35.267671,149.130981,"Northbourne Avenue after Greenway Street, Australian Capital Territory, Northbourne Avenue, Turner 2612, Australia", Turner 2612,NORTHBOURNE AVENUE (GREENWAY -> CONDAMINE / IPIMA),1048741,27/10/2012,2012,October,23:20,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.181466, 149.128234",-35.181466,149.128234,"Australian Capital Territory, Mirrabei Drive, Ngunnawal 2913, Australia", Ngunnawal 2913,MIRRABEI DRIVE (ANTHONY ROLFE / GUNDAROO -> PAUL COE),1030345,05/03/2012,2012,March,16:35,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.363657, 149.092449",-35.363657,149.092449,"Athllon Drive opposite Southlands Shops, Australian Capital Territory, Athllon Drive, Pearce 2607, Australia", Pearce 2607,ATHLLON DRIVE (BEASLEY / MAWSON -> MELROSE),1141984,10/08/2016,2016,August,18:15,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.27594, 149.131211",-35.27594,149.131211,"Australian Capital Territory, Cooyong Street, City 2601, Australia", City 2601,COOYONG/MORT INTERSECTION,1223000,06/02/2020,2020,February,16:30,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.343665, 149.034455",-35.343665,149.034455,"Australian Capital Territory, Croton Street, Rivett 2611, Australia", Rivett 2611,CROTON STREET (WOOLLUM -> WOOLLUM),1229344,10/03/2020,2020,March,18:42,Evening,Collision with parked vehicle,Injury,1,1
"-35.278206, 149.126356",-35.278206,149.126356,"Australian Capital Territory, Canberra House, 40 Marcus Clarke Street, City 2601, Australia", City 2601,ALINGA/MARCUS CLARKE INTERSECTION,1198852,17/12/2018,2018,December,18:10,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.186539, 149.124745",-35.186539,149.124745,"Australian Capital Territory, The Valley Avenue, Gungahlin 2912, Australia", Gungahlin 2912,THE VALLEY AVENUE (DELMA -> THE VALLEY SRV RD 1),1076866,14/12/2013,2013,December,10:15,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.324119, 149.085556",-35.324119,149.085556,"Australian Capital Territory, Allan Street, Curtin 2605, Australia", Curtin 2605,ALLAN STREET (GILLIES -> GILLIES),1028555,10/02/2012,2012,February,15:10,Afternoon,Struck pedestrian (Off Road),Injury,1,1
"-35.236711, 149.054183",-35.236711,149.054183,"Levande Ridgecrest, Australian Capital Territory, 55 Burkitt Street, Page 2614, Australia", Page 2614,BURKITT/HAYTER INTERSECTION,1246617,04/03/2021,2021,March,08:05,Morning,Other - Vehicle to Vehicle,Injury,3,3
"-35.185704, 149.135882",-35.185704,149.135882,"DaMingle, Australian Capital Territory, Hibberson Street, Gungahlin 2912, Australia", Gungahlin 2912,HIBBERSON STREET (GUNGAHLIN -> HINDER),1084394,17/04/2014,2014,April,18:00,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.275215, 149.114826",-35.275215,149.114826,"Australian Capital Territory, Clunies Ross Street, Acton 2601, Australia", Acton 2601,CLUNIES ROSS STREET (SOUTH -> JULIUS),1189725,06/08/2018,2018,August,08:20,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.270304, 149.130341",-35.270304,149.130341,"Australian Capital Territory, 4 Masson Street, Turner 2612, Australia", Turner 2612,GIRRAHWEEN/MASSON/NORTHBOURNE INTERSECTION,1182487,26/04/2018,2018,April,14:30,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.253911, 149.139054",-35.253911,149.139054,"Australian Capital Territory, Morphett Street, Dickson 2602, Australia", Dickson 2602,COWPER/MORPHETT INTERSECTION,1182752,29/04/2018,2018,April,18:50,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.459003, 149.095634",-35.459003,149.095634,"Australian Capital Territory, Heidelberg Street, Conder 2906, Australia", Conder 2906,HEIDELBERG STREET (LOWCAY -> DIXSON),1223007,07/02/2020,2020,February,15:05,Afternoon,Struck pedestrian (Off Road),Injury,1,1
"-35.45133, 149.091331",-35.45133,149.091331,"Australian Capital Territory, unnamed road, Gordon 2906, Australia", Gordon 2906,MENTONE/THARWA INTERSECTION,1182827,20/12/2017,2017,December,21:40,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.278112, 149.126451",-35.278112,149.126451,"Australian Capital Territory, C8, City 2601, Australia", City 2601,ALINGA/MARCUS CLARKE INTERSECTION,1217014,18/10/2019,2019,October,09:15,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.415595, 149.067592",-35.415595,149.067592,"Australian Capital Territory, 175 Anketell Street, Greenway 2900, Australia", Greenway 2900,ANKETELL STREET (PITMAN -> REED),1182947,04/05/2018,2018,May,15:21,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.362132, 149.098885",-35.362132,149.098885,"Australian Capital Territory, Ainsworth Street, Mawson 2607, Australia", Mawson 2607,AINSWORTH/MAWSON INTERSECTION,1183319,07/05/2018,2018,May,15:00,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.277155, 149.129635",-35.277155,149.129635,"Australian Capital Territory, unnamed road, City 2601, Australia", City 2601,BUNDA/NORTHBOURNE/RUDD INTERSECTION,1183320,09/05/2018,2018,May,14:00,Afternoon,Struck pedestrian (On Road),Injury,2,2
"-35.276642, 149.14252",-35.276642,149.14252,"Australian Capital Territory, Ainslie Avenue, Reid 2612, Australia", Reid 2612,AINSLIE AVENUE (LIMESTONE -> GOOREEN),1183305,24/08/2017,2017,August,19:00,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.346002, 149.087066",-35.346002,149.087066,"Australian Capital Territory, Bradley Street, Phillip 2606, Australia", Phillip 2606,BRADLEY/NEPTUNE INTERSECTION,1183844,30/04/2017,2017,April,09:40,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.246863, 149.154825",-35.246863,149.154825,"Australian Capital Territory, Antill Street, Watson 2602, Australia", Watson 2602,ANTILL STREET (ANTSERVLINKW -> PHILLIP),1184228,21/05/2018,2018,May,18:09,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.276713, 149.13408",-35.276713,149.13408,"Australian Capital Territory, Cooyong Street, City 2601, Australia", City 2601,COOYONG STREET (DONALDSON -> SCOTTS),1112093,29/05/2015,2015,May,08:40,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.475051, 149.099517",-35.475051,149.099517,"Australian Capital Territory, Smeaton Circuit, Banks 2906, Australia", Banks 2906,SMEATON CIRCUIT (WEST -> MOORE),1215789,24/09/2019,2019,September,07:45,Morning,Struck pedestrian (Off Road),Injury,1,1
"-35.275767, 149.129503",-35.275767,149.129503,"Australian Capital Territory, Northbourne Avenue, City 2601, Australia", City 2601,BARRY/COOYONG/NORTHBOURNE INTERSECTION,1204880,09/03/2019,2019,March,07:48,Morning,Struck pedestrian (Off Road),Injury,1,1
"-35.278368, 149.13291",-35.278368,149.13291,"Australian Capital Territory, Bunda Street, City 2601, Australia", City 2601,BUNDA STREET (PETRIE -> GAREMA),1186829,25/06/2018,2018,June,12:50,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.265651, 149.137949",-35.265651,149.137949,"Australian Capital Territory, Cowper Street, Ainslie 2602, Australia", Ainslie 2602,COWPER/IPIMA/LIMESTONE INTERSECTION,1185893,03/06/2018,2018,June,09:45,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.260511, 149.132038",-35.260511,149.132038,"Australian Capital Territory, Macarthur Avenue, Turner 2612, Australia", Turner 2612,MACARTHUR/NORTHBOURNE/WAKEFIELD INTERSECTION,1108955,24/04/2015,2015,April,07:40,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.416981, 149.068525",-35.416981,149.068525,"P. J. O'Reilly's, Australian Capital Territory, Reed Street North, Greenway 2900, Australia", Greenway 2900,ANKETELL/REED INTERSECTION,1190145,13/08/2018,2018,August,14:45,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.275692, 149.129686",-35.275692,149.129686,"Australian Capital Territory, Barry Drive, Turner 2612, Australia", Turner 2612,BARRY/COOYONG/NORTHBOURNE INTERSECTION,1216206,12/08/2019,2019,August,09:12,Morning,Struck pedestrian (Off Road),Injury,1,1
"-35.281343, 149.131597",-35.281343,149.131597,"ACT Legislative Assembly, Australian Capital Territory, London Circuit, City 2601, Australia", City 2601,LONDON CIRCUIT (AKUNA -> AINSLIE (S)),1158225,14/04/2017,2017,April,05:50,Night,Struck pedestrian (Off Road),Injury,1,1
"-35.281722, 149.131816",-35.281722,149.131816,"ACT Legislative Assembly, Australian Capital Territory, London Circuit, City 2601, Australia", City 2601,LONDON CIRCUIT (AKUNA -> AINSLIE (S)),1031897,26/03/2012,2012,March,16:02,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.273039, 149.130014",-35.273039,149.130014,"Australian Capital Territory, Elouera Street, Turner 2612, Australia", Turner 2612,ELOUERA/GOULD/NORTHBOURNE INTERSECTION,1190559,07/08/2018,2018,August,17:57,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.197864, 149.111976",-35.197864,149.111976,"Australian Capital Territory, Bimberi Crescent, Palmerston 2913, Australia", Palmerston 2913,BIMBERI/SPEC INTERSECTION,1190231,23/02/2018,2018,February,18:20,Evening,Struck pedestrian (On Road),Fatal,1,1
"-35.315005, 149.131527",-35.315005,149.131527,"Australian Capital Territory, Dominion Circuit, Forrest 2603, Australia", Forrest 2603,DOMINION CIRCUIT (FITZROY -> CANBERRA),1216680,11/10/2019,2019,October,15:40,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.283632, 149.124606",-35.283632,149.124606,"Australian Capital Territory, Marcus Clarke Street, City 2601, Australia", City 2601,EDINBURGH/MARCUS CLARKE INTERSECTION,1104852,10/04/2014,2014,April,18:20,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.309569, 149.137233",-35.309569,149.137233,"Brisbane Avenue Police College, Australian Capital Territory, Brisbane Avenue, Barton 2600, Australia", Barton 2600,BRISBANE AVENUE (BOWEN -> YOUNG),1190633,03/08/2018,2018,August,06:37,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.278745, 149.133994",-35.278745,149.133994,"Canberra Centre, Australian Capital Territory, Petrie Street, City 2601, Australia", City 2601,PETRIE STREET (BUNDA -> COOYONG/BATMAN),1052136,12/12/2012,2012,December,14:00,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.278691, 149.134132",-35.278691,149.134132,"Australian Capital Territory, Petrie Street, City 2601, Australia", City 2601,PETRIE STREET (BUNDA -> COOYONG/BATMAN),1105729,24/02/2015,2015,February,12:25,Afternoon,Struck pedestrian (Off Road),Property Damage Only,1,0
"-35.278335, 149.135047",-35.278335,149.135047,"Australian Capital Territory, Petrie Street, City 2601, Australia", City 2601,COOYONG/PETRIE/BATMAN INTERSECTION,1196899,28/11/2018,2018,November,16:10,Afternoon,Struck pedestrian (Off Road),Property Damage Only,1,0
"-35.278335, 149.135047",-35.278335,149.135047,"Australian Capital Territory, Petrie Street, City 2601, Australia", City 2601,COOYONG/PETRIE/BATMAN INTERSECTION,1182390,16/04/2018,2018,April,17:20,Afternoon,Struck pedestrian (Off Road),Property Damage Only,2,0
"-35.341431, 149.089602",-35.341431,149.089602,"Australian Capital Territory, Easty Street, Phillip 2606, Australia", Phillip 2606,EASTY STREET (LAUNCESTON -> EASTY),1230209,07/07/2020,2020,July,12:10,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.337536, 149.03181",-35.337536,149.03181,"Burrinjuck Crescent opposite Duffy Shops, Australian Capital Territory, Burrinjuck Crescent, Duffy 2611, Australia", Duffy 2611,BURRINJUCK CRESCENT (GLENMAGGIE -> RENMARK),1217824,31/10/2019,2019,October,19:30,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.285133, 149.134109",-35.285133,149.134109,"Constitution Avenue opposite Convention Centre, Australian Capital Territory, Constitution Avenue, City 2601, Australia", City 2601,CONSTITUTION AVENUE (ALLARA -> CORANDERRK),1217291,21/10/2019,2019,October,09:30,Morning,Struck pedestrian (Off Road),Injury,1,1
"-35.285629, 149.13494",-35.285629,149.13494,"Australian Capital Territory, Constitution Avenue, City 2601, Australia", City 2601,CONSTITUTION/CORANDERRK INTERSECTION,1218437,18/10/2019,2019,October,15:20,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.186263, 149.119575",-35.186263,149.119575,"Australian Capital Territory, Gundaroo Drive, Ngunnawal 2913, Australia", Ngunnawal 2913,GUNDAROO/GUNGAHLIN INTERSECTION,1219257,21/11/2019,2019,November,08:20,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.237583, 149.114092",-35.237583,149.114092,"Australian Capital Territory, Gungahlin Drive, Kaleen 2617, Australia", Kaleen 2617,GUNGAHLIN DRIVE (GUNGSGINNERM -> BARTSGUNGWRM),1168364,17/09/2017,2017,September,01:35,Night,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.257777, 149.132579",-35.257777,149.132579,"Northbourne Avenue Owen Flats, Australian Capital Territory, Northbourne Avenue, Lyneham 2602, Australia", Lyneham 2602,NORTHBOURNE AVENUE (MACARTHUR / WAKEFIELD -> MORPHETT),1153289,16/01/2017,2017,January,08:20,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.191181, 149.019555",-35.191181,149.019555,"Australian Capital Territory, Kerrigan Street, Dunlop 2615, Australia", Dunlop 2615,KERRIGAN STREET (DOUGLAS WATERHOUSE -> PERCY BEGG),1195510,25/10/2018,2018,October,19:12,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.278834, 149.13058",-35.278834,149.13058,"City Bus Station, Australian Capital Territory, Alinga Street, City 2601, Australia", City 2601,EAST ROW (ALINGA / CITY / MORT -> LONDON),1164837,21/07/2017,2017,July,13:10,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.279813, 149.130567",-35.279813,149.130567,"Australian Capital Territory, East Row, City 2601, Australia", City 2601,LONDON CIRCUIT (PETRIE -> EAST),1195416,03/11/2018,2018,November,04:00,Night,Struck pedestrian (On Road),Injury,1,1
"-35.277882, 149.124891",-35.277882,149.124891,"Australian Capital Territory, UniLodge - Davey Lodge, 25 Childers Street, City 2601, Australia", City 2601,CHILDERS STREET (HUTTON -> ALLSOP),1195893,13/11/2018,2018,November,15:27,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.202617, 149.076448",-35.202617,149.076448,"Owen Dixon after Badenoch Crescent, Australian Capital Territory, Owen Dixon Drive, Evatt 2617, Australia", Evatt 2617,OWEN DIXON DRIVE (COPLAND -> BADENOCH),1057122,21/01/2012,2012,January,21:10,Evening,Struck pedestrian (Off Road),Injury,1,1
"-35.346814, 149.079296",-35.346814,149.079296,"Australian Capital Territory, Maria Place, Lyons 2606, Australia", Lyons 2606,MARIA PLACE (CHAPPELL -> MARIA),1230169,16/07/2020,2020,July,17:50,Afternoon,Struck pedestrian (Off Road),Injury,1,1
"-35.330953, 149.078297",-35.330953,149.078297,"Australian Capital Territory, Carruthers Street, Curtin 2605, Australia", Curtin 2605,CARRUTHERS STREET (THEODORE -> MCCORMACK),1230165,12/07/2020,2020,July,19:50,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
